region,iso3,country,year,forest_area_kha,variable_type
Asia,IRN,Iran (Islamic Republic of),2000,10751.0,forest_area
Asia,IRQ,Iraq,2000,817.62,forest_area
Europe,ISL,Iceland,2000,32.22,forest_area
Asia,ISR,Israel,2000,153.0,forest_area
Europe,ITA,Italy,2000,8369.25,forest_area
North and Central America,JAM,Jamaica,2000,521.01,forest_area
Europe,JEY,Jersey,2000,0.6,forest_area
Asia,JOR,Jordan,2000,70.7,forest_area
Asia,JPN,Japan,2000,24876.0,forest_area
Asia,KAZ,Kazakhstan,2000,3156.93,forest_area
Africa,KEN,Kenya,2000,3816.21,forest_area
Asia,KGZ,Kyrgyzstan,2000,1180.9,forest_area
Asia,KHM,Cambodia,2000,10781.0,forest_area
Oceania,KIR,Kiribati,2000,1.07,forest_area
North and Central America,KNA,Saint Kitts and Nevis,2000,11.0,forest_area
Asia,KOR,Republic of Korea,2000,6476.0,forest_area
Asia,KWT,Kuwait,2000,4.99,forest_area
Asia,LAO,Lao People's Democratic Republic,2000,14050.04,forest_area
Asia,LBN,Lebanon,2000,138.89,forest_area
Africa,LBR,Liberia,2000,8008.76,forest_area
Africa,LBY,Libya,2000,213.67,forest_area
North and Central America,LCA,Saint Lucia,2000,29.06,forest_area
Europe,LIE,Liechtenstein,2000,5.38,forest_area
Asia,LKA,Sri Lanka,2000,2231.14,forest_area
Africa,LSO,Lesotho,2000,34.52,forest_area
Europe,LTU,Lithuania,2000,2020.0,forest_area
Europe,LUX,Luxembourg,2000,86.7,forest_area
Europe,LVA,Latvia,2000,3241.0,forest_area
North and Central America,MAF,Saint Martin (French Part),2000,1.24,forest_area
Africa,MAR,Morocco,2000,5698.67,forest_area
Europe,MCO,Monaco,2000,0.0,forest_area
Europe,MDA,Republic of Moldova,2000,344.4,forest_area
Africa,MDG,Madagascar,2000,13014.36,forest_area
Asia,MDV,Maldives,2000,3.72,forest_area
North and Central America,MEX,Mexico,2000,69593.66,forest_area
Oceania,MHL,Marshall Islands,2000,9.4,forest_area
Europe,MKD,North Macedonia,2000,957.55,forest_area
Africa,MLI,Mali,2000,12992.9,forest_area
Europe,MLT,Malta,2000,0.35,forest_area
Asia,MMR,Myanmar,2000,34868.11,forest_area
Europe,MNE,Montenegro,2000,626.0,forest_area
Asia,MNG,Mongolia,2000,14263.9,forest_area
Oceania,MNP,Northern Mariana Islands,2000,20.32,forest_area
Africa,MOZ,Mozambique,2000,38918.62,forest_area
Africa,MRT,Mauritania,2000,953.43,forest_area
North and Central America,MSR,Montserrat,2000,2.42,forest_area
North and Central America,MTQ,Martinique,2000,48.74,forest_area
Africa,MUS,Mauritius,2000,41.93,forest_area
Africa,MWI,Malawi,2000,3081.7,forest_area
Asia,MYS,Malaysia,2000,19691.35,forest_area
Africa,MYT,Mayotte,2000,14.79,forest_area
Africa,NAM,Namibia,2000,8059.08,forest_area
Oceania,NCL,New Caledonia,2000,837.85,forest_area
Africa,NER,Niger,2000,1328.1,forest_area
Oceania,NFK,Norfolk Island,2000,0.49,forest_area
Africa,NGA,Nigeria,2000,20302.03,forest_area
North and Central America,NIC,Nicaragua,2000,6105.7,forest_area
Oceania,NIU,Niue,2000,18.83,forest_area
Europe,NLD,Netherlands (Kingdom of the),2000,359.5,forest_area
Europe,NOR,Norway,2000,12198.48,forest_area
Asia,NPL,Nepal,2000,5915.52,forest_area
Oceania,NRU,Nauru,2000,0.0,forest_area
Oceania,NZL,New Zealand,2000,9850.44,forest_area
Asia,OMN,Oman,2000,1.6,forest_area
Asia,PAK,Pakistan,2000,3316.91,forest_area
North and Central America,PAN,Panama,2000,4790.78,forest_area
Oceania,PCN,Pitcairn,2000,3.69,forest_area
South America,PER,Peru,2000,74044.52,forest_area
Asia,PHL,Philippines,2000,7309.26,forest_area
Oceania,PLW,Palau,2000,39.58,forest_area
Oceania,PNG,Papua New Guinea,2000,34395.22,forest_area
Europe,POL,Poland,2000,9059.0,forest_area
North and Central America,PRI,Puerto Rico,2000,429.15,forest_area
Asia,PRK,Democratic People's Republic of Korea,2000,7455.43,forest_area
Europe,PRT,Portugal,2000,3348.57,forest_area
South America,PRY,Paraguay,2000,21909.71,forest_area
Asia,PSE,Palestine,2000,9.08,forest_area
Oceania,PYF,French Polynesia,2000,148.55,forest_area
Asia,QAT,Qatar,2000,1.4,forest_area
Africa,REU,Réunion,2000,70.97,forest_area
Europe,ROU,Romania,2000,6366.0,forest_area
Europe,RUS,Russian Federation,2000,812445.37,forest_area
Africa,RWA,Rwanda,2000,409.23,forest_area
Asia,SAU,Saudi Arabia,2000,2768.05,forest_area
Africa,SDN,Sudan,2000,26333.9,forest_area
Africa,SEN,Senegal,2000,9037.91,forest_area
Asia,SGP,Singapore,2000,17.01,forest_area
Africa,SHN,"Ascension, Saint Helena and Tristan da Cunha",2000,2.02,forest_area
Europe,SJM,Svalbard and Jan Mayen Islands,2000,0.0,forest_area
Oceania,SLB,Solomon Islands,2000,2532.34,forest_area
Africa,SLE,Sierra Leone,2000,2929.43,forest_area
North and Central America,SLV,El Salvador,2000,705.81,forest_area
